"year","mm-dd","location","parameter","unit","datatype","value"
2023,"7-10","FPT","flow","CFS","Flow",12701.25
2023,"7-11","FPT","flow","CFS","Flow",12451.25
2023,"7-12","FPT","flow","CFS","Flow",12699.292
2023,"7-13","FPT","flow","CFS","Flow",13597.208
2023,"7-14","FPT","flow","CFS","Flow",13693.333
2023,"7-15","FPT","flow","CFS","Flow",13865.708
2023,"7-16","FPT","flow","CFS","Flow",14379.583
2023,"7-17","FPT","flow","CFS","Flow",14993.875
2023,"7-18","FPT","flow","CFS","Flow",15025.917
2023,"7-19","FPT","flow","CFS","Flow",15091.375
2023,"7-20","FPT","flow","CFS","Flow",14943.458
2023,"7-21","FPT","flow","CFS","Flow",14837.5
2023,"7-22","FPT","flow","CFS","Flow",14704.042
2023,"7-23","FPT","flow","CFS","Flow",14961.042
2023,"7-24","FPT","flow","CFS","Flow",15585.417
2023,"7-25","FPT","flow","CFS","Flow",15665.958
2023,"7-26","FPT","flow","CFS","Flow",16027.292
2023,"7-27","FPT","flow","CFS","Flow",16661.708
2023,"7-28","FPT","flow","CFS","Flow",16845.167
2023,"7-29","FPT","flow","CFS","Flow",16910.417
2023,"7-30","FPT","flow","CFS","Flow",17656.333
2023,"7-31","FPT","flow","CFS","Flow",18238.25
2023,"8-1","FPT","flow","CFS","Flow",18190.375
2023,"8-2","FPT","flow","CFS","Flow",18201.708
2023,"8-3","FPT","flow","CFS","Flow",18194.708
2023,"8-4","FPT","flow","CFS","Flow",17975.417
2023,"8-5","FPT","flow","CFS","Flow",17546.458
2023,"8-6","FPT","flow","CFS","Flow",17402.417
2023,"8-7","FPT","flow","CFS","Flow",17567.5
2023,"8-8","FPT","flow","CFS","Flow",17313.083
2023,"8-9","FPT","flow","CFS","Flow",17567.458
2023,"8-10","FPT","flow","CFS","Flow",17011.083
2023,"8-11","FPT","flow","CFS","Flow",16551.25
2023,"8-12","FPT","flow","CFS","Flow",16376.833
2023,"8-13","FPT","flow","CFS","Flow",16531.708
2023,"8-14","FPT","flow","CFS","Flow",16700.5
2023,"8-15","FPT","flow","CFS","Flow",16862.958
2023,"8-16","FPT","flow","CFS","Flow",16746.958
2023,"8-17","FPT","flow","CFS","Flow",16341.167
2023,"8-18","FPT","flow","CFS","Flow",16258
2023,"8-19","FPT","flow","CFS","Flow",15962.542
2023,"8-20","FPT","flow","CFS","Flow",16037.917
2023,"8-21","FPT","flow","CFS","Flow",15896.333
2023,"8-22","FPT","flow","CFS","Flow",16404.5
2023,"8-23","FPT","flow","CFS","Flow",16565.458
2023,"8-24","FPT","flow","CFS","Flow",16984.292
2023,"8-25","FPT","flow","CFS","Flow",18533
2023,"8-26","FPT","flow","CFS","Flow",18784
2023,"8-27","FPT","flow","CFS","Flow",18862.75
2023,"8-28","FPT","flow","CFS","Flow",18886.583
2023,"8-29","FPT","flow","CFS","Flow",18530.75
2023,"8-30","FPT","flow","CFS","Flow",18431.708
2023,"8-31","FPT","flow","CFS","Flow",18177.25
2023,"9-1","FPT","flow","CFS","Flow",18485.125
2023,"9-2","FPT","flow","CFS","Flow",19185.292
2023,"9-3","FPT","flow","CFS","Flow",18917.792
2023,"9-4","FPT","flow","CFS","Flow",19062.667
2023,"9-5","FPT","flow","CFS","Flow",18948.167
2023,"9-6","FPT","flow","CFS","Flow",18446
2023,"9-7","FPT","flow","CFS","Flow",19337.167
2023,"9-8","FPT","flow","CFS","Flow",18702.542
2023,"9-9","FPT","flow","CFS","Flow",18418
