"year","mm-dd","location","parameter","unit","datatype","value"
2023,"7-13","VNS","flow","CFS","Flow",7586.96
2023,"7-14","VNS","flow","CFS","Flow",7459.04
2023,"7-15","VNS","flow","CFS","Flow",7402.8
2023,"7-16","VNS","flow","CFS","Flow",7222.36
2023,"7-17","VNS","flow","CFS","Flow",6974.2
2023,"7-18","VNS","flow","CFS","Flow",6968.52
2023,"7-19","VNS","flow","CFS","Flow",6826.12
2023,"7-20","VNS","flow","CFS","Flow",6414.76
2023,"7-21","VNS","flow","CFS","Flow",6095.304
2023,"7-22","VNS","flow","CFS","Flow",5804.28
2023,"7-23","VNS","flow","CFS","Flow",5462.28
2023,"7-24","VNS","flow","CFS","Flow",5213.2
2023,"7-25","VNS","flow","CFS","Flow",5273.28
2023,"7-26","VNS","flow","CFS","Flow",5355.44
2023,"7-27","VNS","flow","CFS","Flow",5170.36
2023,"7-28","VNS","flow","CFS","Flow",4766.44
2023,"7-29","VNS","flow","CFS","Flow",4254.08
2023,"7-30","VNS","flow","CFS","Flow",3847.48
2023,"7-31","VNS","flow","CFS","Flow",3569.64
2023,"8-1","VNS","flow","CFS","Flow",3508
2023,"8-2","VNS","flow","CFS","Flow",3653.04
2023,"8-3","VNS","flow","CFS","Flow",3732.48
2023,"8-4","VNS","flow","CFS","Flow",3739.16
2023,"8-5","VNS","flow","CFS","Flow",3751.24
2023,"8-6","VNS","flow","CFS","Flow",3612.12
2023,"8-7","VNS","flow","CFS","Flow",3400.96
2023,"8-8","VNS","flow","CFS","Flow",3369.76
2023,"8-9","VNS","flow","CFS","Flow",3177.56
2023,"8-10","VNS","flow","CFS","Flow",3420.08
2023,"8-11","VNS","flow","CFS","Flow",3882.76
2023,"8-12","VNS","flow","CFS","Flow",4271.84
2023,"8-13","VNS","flow","CFS","Flow",4251.56
2023,"8-14","VNS","flow","CFS","Flow",4198.72
2023,"8-15","VNS","flow","CFS","Flow",4324.4
2023,"8-16","VNS","flow","CFS","Flow",4431.8
2023,"8-17","VNS","flow","CFS","Flow",4402.44
2023,"8-18","VNS","flow","CFS","Flow",4291.76
2023,"8-19","VNS","flow","CFS","Flow",4153.68
2023,"8-20","VNS","flow","CFS","Flow",3942.12
2023,"8-21","VNS","flow","CFS","Flow",3803.56
2023,"8-22","VNS","flow","CFS","Flow",3845.2
2023,"8-23","VNS","flow","CFS","Flow",3891.2
2023,"8-24","VNS","flow","CFS","Flow",3810.36
2023,"8-25","VNS","flow","CFS","Flow",3741.208
2023,"8-26","VNS","flow","CFS","Flow",3604.72
2023,"8-27","VNS","flow","CFS","Flow",3352.6
2023,"8-28","VNS","flow","CFS","Flow",3122.68
2023,"8-29","VNS","flow","CFS","Flow",3145.16
2023,"8-30","VNS","flow","CFS","Flow",3270.48
2023,"8-31","VNS","flow","CFS","Flow",3185.48
2023,"9-1","VNS","flow","CFS","Flow",3043.2
2023,"9-2","VNS","flow","CFS","Flow",2999.32
2023,"9-3","VNS","flow","CFS","Flow",2707
2023,"9-4","VNS","flow","CFS","Flow",2511.88
2023,"9-5","VNS","flow","CFS","Flow",2328.76
2023,"9-6","VNS","flow","CFS","Flow",2153.32
2023,"9-7","VNS","flow","CFS","Flow",2058.92
2023,"9-8","VNS","flow","CFS","Flow",1987.917
2023,"9-9","VNS","flow","CFS","Flow",1973.958
2023,"9-10","VNS","flow","CFS","Flow",2099.583
2023,"9-11","VNS","flow","CFS","Flow",2109.375
2023,"9-12","VNS","flow","CFS","Flow",1952.708
2023,"9-13","VNS","flow","CFS","Flow",1902.375
2023,"9-14","VNS","flow","CFS","Flow",1865.417
2023,"9-15","VNS","flow","CFS","Flow",1802.708
2023,"9-16","VNS","flow","CFS","Flow",1856.958
2023,"9-17","VNS","flow","CFS","Flow",1917.792
2023,"9-18","VNS","flow","CFS","Flow",1874.083
2023,"9-19","VNS","flow","CFS","Flow",1712.208
2023,"9-20","VNS","flow","CFS","Flow",1625.333
2023,"9-21","VNS","flow","CFS","Flow",1594.083
2023,"9-22","VNS","flow","CFS","Flow",1596.292
2023,"9-23","VNS","flow","CFS","Flow",1651.083
2023,"9-24","VNS","flow","CFS","Flow",1762.333
2023,"9-25","VNS","flow","CFS","Flow",1761.958
2023,"9-26","VNS","flow","CFS","Flow",1699
2023,"9-27","VNS","flow","CFS","Flow",1642.478
2023,"9-28","VNS","flow","CFS","Flow",1634.292
2023,"9-29","VNS","flow","CFS","Flow",1562.542
